Year,Units,Sex,Age,Disability status,Country of birth,Country,Region,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2007 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.5
2007 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2007 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2008 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.2
2008 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.6
2008 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,13.7
2008 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.6
2009 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,16.3
2009 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,17.4
2009 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.0
2009 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,17.5
2010 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.1
2010 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,17.9
2010 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,17.3
2010 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.2
2011 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,17.9
2011 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.4
2011 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.8
2011 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,20.2
2012 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.9
2012 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.5
2012 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.0
2012 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.9
2013 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.7
2013 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.3
2013 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,19.2
2013 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,18.0
2014 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,16.8
2014 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.7
2014 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.4
2014 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.5
2015 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.2
2015 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,14.1
2015 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.6
2015 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.0
2016 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,12.2
2016 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.7
2016 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.7
2016 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.0
2017 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.6
2017 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.9
2017 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.7
2017 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2018 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.3
2018 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.0
2018 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.1
2018 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.4
2019 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,9.9
2019 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2019 Q3,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2019 Q4,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.0
2020 Q1,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,10.5
2020 Q2,Seasonally adjusted,,18 to 24,,,,,Percentage (%),Units,Undefined,,11.3
2000 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.8
2000 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.1
2000 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2000 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.6
2001 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2001 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.2
2001 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2001 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.3
2002 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.1
2002 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.1
2002 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.3
2002 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.7
2003 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.4
2003 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.0
2003 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2003 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.3
2004 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.4
2004 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.0
2004 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.1
2004 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.2
2005 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2005 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.3
2005 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.4
2005 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.7
2006 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.1
2006 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,14.2
2006 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.8
2006 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.6
2007 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.7
2007 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,14.0
2007 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.5
2007 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.3
2008 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,14.2
2008 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,14.7
2008 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,15.9
2008 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,16.9
2009 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,18.8
2009 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.2
2009 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.1
2009 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.2
2010 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.0
2010 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.1
2010 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,18.6
2010 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,19.9
2011 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,19.9
2011 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.4
2011 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,22.6
2011 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,23.7
2012 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,23.3
2012 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,22.6
2012 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.6
2012 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.1
2013 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.7
2013 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.6
2013 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,21.4
2013 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,20.5
2014 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,19.1
2014 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,17.0
2014 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,16.6
2014 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,16.0
2015 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,15.7
2015 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,15.7
2015 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.6
2015 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.1
2016 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.2
2016 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.4
2016 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.7
2016 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,13.3
2017 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.5
2017 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.2
2017 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.4
2017 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2018 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.2
2018 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.1
2018 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2018 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.8
2019 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.7
2019 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.9
2019 Q3,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.3
2019 Q4,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.3
2020 Q1,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,11.3
2020 Q2,Seasonally adjusted,Men,18 to 24,,,,,Percentage (%),Units,Undefined,,12.0
2000 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.2
2000 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.0
2000 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.5
2000 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.5
2001 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2001 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2001 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.2
2001 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.3
2002 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.3
2002 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.2
2002 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.5
2002 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.6
2003 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.6
2003 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2003 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.3
2003 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.2
2004 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.8
2004 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.4
2004 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.6
2004 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.2
2005 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.5
2005 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.4
2005 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.2
2005 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.8
2006 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.0
2006 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2006 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.9
2006 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.7
2007 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,11.1
2007 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2007 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.1
2007 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.3
2008 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.0
2008 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.2
2008 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,11.1
2008 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,12.0
2009 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,13.5
2009 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,14.2
2009 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,14.5
2009 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,14.6
2010 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,15.0
2010 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,15.4
2010 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,15.7
2010 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.3
2011 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,15.5
2011 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.0
2011 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.7
2011 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.2
2012 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.0
2012 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.1
2012 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.2
2012 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.3
2013 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.5
2013 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.7
2013 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,16.7
2013 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,15.2
2014 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,14.1
2014 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,12.1
2014 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,11.9
2014 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,12.9
2015 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,12.6
2015 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,12.4
2015 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,11.5
2015 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.8
2016 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,11.2
2016 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.9
2016 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.5
2016 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.5
2017 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.6
2017 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.5
2017 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2017 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.6
2018 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.2
2018 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2018 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.2
2018 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.9
2019 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.0
2019 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.5
2019 Q3,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.2
2019 Q4,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,8.5
2020 Q1,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,9.6
2020 Q2,Seasonally adjusted,Women,18 to 24,,,,,Percentage (%),Units,Undefined,,10.5
2000 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.5
2000 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.1
2000 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.7
2000 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2001 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.7
2001 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2001 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.0
2001 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.1
2002 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.1
2002 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.0
2002 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.0
2002 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.6
2003 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.9
2003 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.7
2003 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2003 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2004 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.6
2004 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.5
2004 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.4
2004 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.6
2005 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.3
2005 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.3
2005 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.3
2005 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.5
2006 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2006 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.1
2006 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.1
2006 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.2
2007 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.2
2007 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.5
2007 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.5
2007 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.5
2008 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.6
2008 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,4.8
2008 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.5
2008 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,5.9
2009 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,6.8
2009 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.9
2009 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.9
2009 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.8
2010 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,8.2
2010 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.6
2010 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.4
2010 Q4,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.4
2011 Q1,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.4
2011 Q2,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,7.9
2011 Q3,Seasonally adjusted,,25 to 34,,,,,Percentage (%),Units,Undefined,,8.2
